id,title,main_artist,acousticness,danceability,energy,duration_ms,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,duration_min
26zM4twMvX6ld5xCPH02fI,Старое кино,Перемотка,0.197,0.474,0.886,251557,0.0407,7,0.0688,-3.795,1,0.0609,186.98,4,0.718,4.192616666666667
5FXf4fO263dyy3WmVJe5vf,The Moment,Kenny G,0.644,0.269,0.371,360707,0.00367,10,0.164,-9.191,1,0.0336,181.315,4,0.195,6.011783333333334
61MJt8DGgDadH67v9mRUYo,The Man Who Sold the World - 2015 Remaster,David Bowie,0.642,0.474,0.387,241347,0.00557,2,0.143,-14.416,0,0.0305,118.486,4,0.545,4.02245
1QEghWHqjM819HYE3iqZW0,Et si tu n'existais pas,Joe Dassin,0.032,0.58,0.699,208013,0.000353,11,0.235,-7.334,0,0.0282,98.92,4,0.664,3.4668833333333335
3aHl74ctcELDYWDQvLbKLX,Starman - 2012 Remaster,David Bowie,0.166,0.486,0.449,254293,2.23e-06,5,0.54,-10.298,1,0.0267,100.456,4,0.549,4.238216666666666
3esvklLKEej56kihIzxMnn,Play With Fire - Mono,The Rolling Stones,0.188,0.571,0.413,135080,4.25e-05,11,0.154,-9.045,0,0.026,108.954,4,0.0936,2.251333333333333
0Ta7eLy9S4KMy1TOzwHcrw,Beyond The Invisible,Enigma,0.0529,0.435,0.705,304280,0.0152,7,0.436,-8.363,0,0.0337,98.988,4,0.167,5.0713333333333335
7KC1bws4uLYFIMBQ1YsCdS,Hourglass,Alim Zairov,0.966,0.383,0.227,194352,0.958,0,0.109,-17.773,0,0.0318,136.136,4,0.139,3.2392
0w3ijrVQ2Q4U0guO2WhKaE,Someday,Michael Learns To Rock,0.0218,0.527,0.902,245773,1.97e-06,2,0.113,-5.346,1,0.035,82.014,4,0.677,4.096216666666667
2Cb0aekZLZnTnZxKhwVazS,Voyageur,Enigma,0.00564,0.668,0.869,276467,0.706,9,0.115,-7.075,0,0.0646,121.439,4,0.488,4.607783333333333
4o1sZviUl5YHPPVs1Jv0I4,Gravity Of Love,Enigma,0.08,0.565,0.838,238867,0.3,1,0.0894,-8.109,0,0.0548,140.075,4,0.371,3.981116666666667
