id,playlist_id,title,main_artist,acousticness,danceability,energy,duration_ms,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,duration_min
1frLfdzAN9vP7iryVFkchw,1iwD5WC1iFF7qAQmXVONYJ,"Hey, That's No Way To Say Goodbye",Feist,0.93,0.565,0.0655,202559.0,0.0,7.0,0.114,-13.836,1.0,0.0504,126.992,4.0,0.376,3.375983333333333
1K5wIDgNBgT7lVOMibiRAE,1iwD5WC1iFF7qAQmXVONYJ,We've Been Had,The Walkmen,0.809,0.434,0.581,204347.0,0.0002,4.0,0.338,-7.449,1.0,0.0313,100.219,4.0,0.447,3.4057833333333334
6ZXoX3GiljGiuQpGCjWJI3,1iwD5WC1iFF7qAQmXVONYJ,He Would Have Laughed,Deerhunter,0.461,0.354,0.668,449373.0,0.721,4.0,0.159,-7.9,1.0,0.0392,118.54,4.0,0.372,7.48955
0ZRmhs9YjaMmj5QGCw0lDe,1iwD5WC1iFF7qAQmXVONYJ,Swing Lo Magellan,Dirty Projectors,0.825,0.738,0.366,157800.0,2.69e-05,5.0,0.118,-10.231,0.0,0.0324,101.031,4.0,0.507,2.63
1dO4IJX1pwbDamm6Kcyu4p,1iwD5WC1iFF7qAQmXVONYJ,Dancing In The Dark,Lucy Dacus,0.000794,0.437,0.764,200539.0,0.00421,9.0,0.202,-9.056,1.0,0.0408,76.977,4.0,0.426,3.3423166666666666
66VLscP5FZHPeMmtWaopbJ,1iwD5WC1iFF7qAQmXVONYJ,Two Doves,Dirty Projectors,0.94,0.435,0.278,221680.0,0.0135,6.0,0.114,-11.233,1.0,0.0318,80.543,4.0,0.472,3.6946666666666665
56OhItQ6ACZrsi8FhR7nHd,1iwD5WC1iFF7qAQmXVONYJ,The Fear,The Shins,0.0129,0.519,0.731,325560.0,0.00129,0.0,0.394,-6.713,1.0,0.0257,154.061,4.0,0.424,5.426
1ZGTTfJcCJ33IfAaExK5Wi,1iwD5WC1iFF7qAQmXVONYJ,I'm On Fire,Soccer Mommy,0.812,0.424,0.197,187242.0,0.0114,2.0,0.112,-12.381,1.0,0.0302,99.626,4.0,0.094,3.1207
53PkA8aXiwH4ppa0V0iO7o,1iwD5WC1iFF7qAQmXVONYJ,oh baby,LCD Soundsystem,0.0192,0.58,0.622,349693.0,0.653,5.0,0.648,-12.005,1.0,0.0352,169.442,4.0,0.781,5.828216666666667
6zqfL2Io4GGtVTz1Agrow1,1iwD5WC1iFF7qAQmXVONYJ,Nowhere Near,Yo La Tengo,0.832,0.43,0.233,363973.0,0.845,9.0,0.099,-15.242,1.0,0.0288,81.171,4.0,0.0848,6.066216666666667
4BmtCb6sdMqECAItGmFDvU,1iwD5WC1iFF7qAQmXVONYJ,Knife,Grizzly Bear,0.806,0.226,0.4,314413.0,0.747,11.0,0.108,-10.256,1.0,0.0298,88.673,4.0,0.101,5.240216666666667
0Sg9bWEaPtDO2JE7qwcMvy,1iwD5WC1iFF7qAQmXVONYJ,The End of the World,Sharon Van Etten,0.793,0.332,0.234,178640.0,0.00375,10.0,0.187,-11.823,1.0,0.0277,93.992,3.0,0.256,2.977333333333333
3HMOMdRPywfouYx5B4PvaH,1iwD5WC1iFF7qAQmXVONYJ,Carry the Zero,Built To Spill,1.35e-05,0.264,0.812,343893.0,0.108,4.0,0.0962,-5.651,1.0,0.031,94.095,4.0,0.458,5.73155
3mPEQcWspL9kFSUQ35bks5,1iwD5WC1iFF7qAQmXVONYJ,In a River (Acoustic),Rostam,0.893,0.535,0.326,214187.0,0.00099,7.0,0.207,-11.44,1.0,0.0265,78.056,4.0,0.362,3.5697833333333335
4GrfClvQgCVLsCfqw7YthQ,1iwD5WC1iFF7qAQmXVONYJ,You Can Have It All,Yo La Tengo,0.637,0.515,0.833,276640.0,0.944,4.0,0.302,-9.409,1.0,0.0362,178.471,4.0,0.965,4.610666666666667
3Z3dOgxFctCDTfwWL71sY5,1iwD5WC1iFF7qAQmXVONYJ,Truth Lies Low,Andrew Bird,0.737,0.703,0.451,328813.0,0.105,10.0,0.0938,-11.492,1.0,0.047,91.252,4.0,0.627,5.480216666666666
0S7MQY3rKE0YD5UVQJ9jrk,1iwD5WC1iFF7qAQmXVONYJ,Dory,Grizzly Bear,0.935,0.316,0.263,266293.0,0.00271,2.0,0.108,-13.147,1.0,0.0328,130.705,4.0,0.118,4.4382166666666665
3VB5e3mQF5F0qzX5UD7WIx,1iwD5WC1iFF7qAQmXVONYJ,Everything Is Free - Recorded at Spotify Studios NYC,Father John Misty,0.908,0.521,0.0949,265687.0,4.57e-06,7.0,0.111,-13.486,1.0,0.0381,110.987,4.0,0.173,4.428116666666667
4FF4q2qyOsFhRavZ0bdVXT,1iwD5WC1iFF7qAQmXVONYJ,Passenger Seat,Death Cab for Cutie,0.775,0.597,0.0958,221693.0,0.0188,2.0,0.11,-17.319,1.0,0.0329,77.681,3.0,0.0961,3.6948833333333333
4P7V0zx8jnwxDGV06fJ3kI,1iwD5WC1iFF7qAQmXVONYJ,Family Tree,TV On The Radio,0.739,0.446,0.466,333667.0,0.0253,1.0,0.134,-8.987,1.0,0.0303,120.008,4.0,0.347,5.561116666666667
5Bb6I8gwnDukaF9nwbEdl2,1iwD5WC1iFF7qAQmXVONYJ,Tokyo,The Books,0.906,0.618,0.567,223013.0,0.814,8.0,0.512,-7.642,1.0,0.0347,97.054,4.0,0.541,3.7168833333333335
3lOok0REf4j3790abX26PR,1iwD5WC1iFF7qAQmXVONYJ,Do You Feel It?,Chaos Chaos,0.187,0.678,0.662,250713.0,0.261,0.0,0.125,-6.719,1.0,0.0278,139.048,4.0,0.383,4.17855
6Xm92ATVFyFt5QiTD2oLVU,1iwD5WC1iFF7qAQmXVONYJ,One House,RAC,0.183,0.653,0.822,173827.0,7.28e-05,6.0,0.111,-7.89,1.0,0.0348,130.066,4.0,0.408,2.897116666666667
2Tk7IZ4XHXCGRFxSaP40qB,1iwD5WC1iFF7qAQmXVONYJ,Start a War,The National,0.875,0.655,0.445,196400.0,0.634,0.0,0.115,-12.06,1.0,0.0274,130.014,4.0,0.14,3.2733333333333334
4pXTUGJU4Hr6l4DfdObNNC,1iwD5WC1iFF7qAQmXVONYJ,All the Wine,The National,0.000223,0.545,0.806,200133.0,0.382,0.0,0.143,-5.885,1.0,0.0293,119.977,4.0,0.513,3.33555
0jeNYZm634hYstjOvHTRDR,1iwD5WC1iFF7qAQmXVONYJ,Carissa,Sun Kil Moon,0.951,0.628,0.232,415533.0,0.000198,10.0,0.106,-11.031,1.0,0.0306,97.204,3.0,0.417,6.92555
69eoS6bEWWfMac4TL36UiM,1iwD5WC1iFF7qAQmXVONYJ,Sweet Thing,Rufus & Chaka Khan,0.905,0.685,0.283,200840.0,0.425,9.0,0.135,-16.872,1.0,0.0565,80.263,4.0,0.663,3.3473333333333333
2GlGO7gOSup2VLbuRKEuNq,1iwD5WC1iFF7qAQmXVONYJ,"Sweet Thing - Live at Sin-é, New York, NY - July/August 1993",Jeff Buckley,0.866,0.299,0.0955,636400.0,4.28e-06,4.0,0.972,-21.712,1.0,0.0487,85.653,4.0,0.124,10.606666666666667
5xofev4Q2qG50KvvjAF1lX,1iwD5WC1iFF7qAQmXVONYJ,The Girl Who Fell To Earth,Gaz Coombes,0.246,0.511,0.546,214640.0,0.0115,9.0,0.0819,-8.505,1.0,0.0317,122.971,4.0,0.194,3.5773333333333333
77pOyJP8PK4XoUr80TqJjr,1iwD5WC1iFF7qAQmXVONYJ,Crash into Me,Dave Matthews Band,0.122,0.541,0.677,316467.0,0.0191,4.0,0.0938,-10.764,1.0,0.0373,101.1,4.0,0.555,5.27445
4tPHC7YsU3LInUYcIe2UIi,1iwD5WC1iFF7qAQmXVONYJ,Crash,The Primitives,0.0966,0.375,0.6,151693.0,0.000972,11.0,0.759,-9.313,1.0,0.033,169.976,4.0,0.916,2.528216666666667
2Lq0dxVEcN7TJD8Xdm0tSz,1iwD5WC1iFF7qAQmXVONYJ,Satellite,Dave Matthews Band,0.767,0.673,0.301,288587.0,9.9e-06,8.0,0.159,-16.028,1.0,0.0336,126.162,3.0,0.596,4.809783333333334
1N7JaLzEnYLee0DUxoMrei,1iwD5WC1iFF7qAQmXVONYJ,Los Ageless - Recorded At Spotify Studios NYC,St. Vincent,0.865,0.418,0.333,253515.0,0.0,7.0,0.103,-6.916,0.0,0.0416,160.743,4.0,0.354,4.22525
6Xk5AaN4n4SnW71473GI7A,1iwD5WC1iFF7qAQmXVONYJ,Fast Slow Disco,St. Vincent,0.0386,0.606,0.828,197005.0,0.000148,10.0,0.313,-7.51,0.0,0.0577,113.975,4.0,0.388,3.2834166666666667
7AHRfGlH26yolPQK0IOlQa,1iwD5WC1iFF7qAQmXVONYJ,Consideration - Recorded At Spotify Studios NYC,St. Vincent,0.42,0.663,0.388,142643.0,0.0,4.0,0.229,-6.278,0.0,0.0645,134.999,4.0,0.336,2.3773833333333334
71T6ks7uNqlkSAHM2CDWnj,1iwD5WC1iFF7qAQmXVONYJ,New York,St. Vincent,0.862,0.406,0.47,153922.0,1.93e-05,10.0,0.184,-11.58,1.0,0.149,137.633,4.0,0.349,2.565366666666667
5mc6EyF1OIEOhAkD0Gg9Lc,1iwD5WC1iFF7qAQmXVONYJ,Closer,Nine Inch Nails,0.000273,0.546,0.724,373307.0,0.667,10.0,0.133,-8.639,0.0,0.0427,89.991,4.0,0.586,6.221783333333334
14tKBoKXxGakkoEmYuFfor,1iwD5WC1iFF7qAQmXVONYJ,The Perfect Drug,Nine Inch Nails,0.0207,0.627,0.883,315440.0,0.00346,5.0,0.323,-8.988,0.0,0.0947,149.024,4.0,0.252,5.257333333333333
769GTcMAkeYsW7fPOX7wHJ,1iwD5WC1iFF7qAQmXVONYJ,Florianapolis - Live - Montreux Jazz Festival 1987,John McLaughlin,0.669,0.4,0.592,716613.0,0.823,9.0,0.742,-13.023,1.0,0.0419,112.637,3.0,0.389,11.94355
7szQkIfgNILLyf87yOJVAA,1iwD5WC1iFF7qAQmXVONYJ,Florianapolis - Instrumental,John McLaughlin,0.378,0.489,0.7,327933.0,0.0021,9.0,0.0756,-14.205,1.0,0.0442,126.072,4.0,0.693,5.46555
3J86u5gKIHt7r8r2AQEtPz,00YvrIWUnu9xpMvqmWuAnA,My Favorite Things (Reprise),Julie Andrews,0.964,0.486,0.0999,74760.0,0.0,5.0,0.285,-14.67,0.0,0.0536,106.822,3.0,0.477,1.246
1tZtsB1lUmqub00qLBbIJJ,00YvrIWUnu9xpMvqmWuAnA,Over the Rainbow,Judy Garland,0.937,0.298,0.2,132773.0,2.4e-05,8.0,0.222,-11.972,1.0,0.0357,74.347,4.0,0.293,2.2128833333333335
0biA2c1WTHXad7encB4zp2,00YvrIWUnu9xpMvqmWuAnA,Memories : Cats,Royal Caribbean Chamber Orchestra,0.785,0.167,0.202,244627.0,0.0,10.0,0.114,-12.994,1.0,0.0347,168.073,3.0,0.172,4.077116666666667
6iaPmfQ7MtLGvWDKdQ8tWT,00YvrIWUnu9xpMvqmWuAnA,"Beauty and the Beast - From ""Beauty and the Beast"" / Soundtrack Version",Angela Lansbury,0.767,0.317,0.105,165493.0,2.05e-06,5.0,0.15,-18.159,0.0,0.0349,86.4,3.0,0.192,2.7582166666666668
5Z2Lrt0qVqfpqSlbDOqse9,00YvrIWUnu9xpMvqmWuAnA,"Part of Your World - From ""The Little Mermaid"" Soundtrack",Jodi Benson,0.84,0.367,0.227,192773.0,1.78e-05,5.0,0.209,-10.949,1.0,0.0343,134.392,3.0,0.335,3.2128833333333335
1eQkeRWuEFcdf5Bb0P3Tsz,00YvrIWUnu9xpMvqmWuAnA,The Sound of Music,Charmian Carr,0.948,0.192,0.115,130573.0,0.0,5.0,0.135,-18.222,1.0,0.0389,176.717,3.0,0.15,2.1762166666666665
7LNeHemat0laG23Z2swjeb,00YvrIWUnu9xpMvqmWuAnA,When You Wish Upon A Star - From ''Pinocchio'',Katherine Jenkins,0.977,0.224,0.246,250867.0,0.00045,0.0,0.0783,-13.382,1.0,0.0403,83.636,3.0,0.0655,4.181116666666667
2a6v5EnyYJEopa3y7UUaOm,00YvrIWUnu9xpMvqmWuAnA,Edelweiss,Bill Lee,0.859,0.297,0.117,135560.0,0.00633,8.0,0.124,-20.203,1.0,0.0348,98.654,3.0,0.345,2.259333333333333
3pmn2D8yHs7KlDTleuGwlF,00YvrIWUnu9xpMvqmWuAnA,Reflection,Lea Salonga,0.612,0.185,0.388,147267.0,0.00156,10.0,0.316,-11.208,0.0,0.0359,88.624,4.0,0.0797,2.45445
4akPBEoQqGjJREgVdLvmI7,00YvrIWUnu9xpMvqmWuAnA,"The Rainbow Connection - from the Sony Wonder album ""Return to Pooh Corner"" LT/LK 57674",Sarah McLachlan,0.852,0.281,0.276,212333.0,2.61e-06,3.0,0.0919,-10.65,1.0,0.0366,88.728,5.0,0.164,3.538883333333333
4FDVnEP4xp3v9uzmbUKyIE,00YvrIWUnu9xpMvqmWuAnA,Tomorrow,Charles Strouse,0.793,0.337,0.213,149733.0,0.0,8.0,0.231,-8.475,1.0,0.0286,84.1,4.0,0.249,2.49555
0YBNpbrmpZdFRT0NFqii5C,00YvrIWUnu9xpMvqmWuAnA,Fly Me to the Moon,The Macarons Project,0.915,0.456,0.113,155402.0,0.0011,2.0,0.0959,-15.763,0.0,0.0334,108.536,4.0,0.327,2.5900333333333334
1qCQTy0fTXerET4x8VHyr9,00YvrIWUnu9xpMvqmWuAnA,What A Wonderful World,Louis Armstrong,0.792,0.399,0.258,137520.0,1.86e-06,5.0,0.128,-16.028,1.0,0.033,108.174,3.0,0.192,2.292
2R6CGc2eQJjuVEbH1eUZjq,00YvrIWUnu9xpMvqmWuAnA,Beyond The Sea,Kina Grannis,0.935,0.676,0.118,119423.0,0.0,7.0,0.292,-11.443,1.0,0.032,103.948,4.0,0.517,1.9903833333333334
1L0z2CQKrKJ2spYSMkfim9,00YvrIWUnu9xpMvqmWuAnA,Bottom Bitch,Doja Cat,0.00265,0.695,0.825,197933.0,0.000928,6.0,0.0723,-2.891,1.0,0.0359,160.028,4.0,0.484,3.2988833333333334
5iwz1NiezX7WWjnCgY5TH4,7ya2coaZFbx4Q6Y0MHv0x8,Calma - Remix,Pedro Capó,0.323,0.826,0.773,238200.0,0.0,11.0,0.143,-4.218,0.0,0.0524,126.899,4.0,0.761,3.97
5PXsZaT8cOxb4mXrA20PMQ,7ya2coaZFbx4Q6Y0MHv0x8,Baila Baila Baila,Ozuna,0.0588,0.837,0.626,158760.0,0.0,11.0,0.252,-5.674,0.0,0.152,99.987,4.0,0.592,2.646
